"","NAME","year","income_50p","income_25p","rent_50p","rent_25p","med_over_25","monthly_rent_inc_50","monthly_rent_inc_25"
"1","Alexandria city, Virginia",2009,59429.674611399,34128.6135097493,1278.89982347749,1032.34866799671,1.23882546965379,0.258234593779625,0.362985270773503
"2","Alexandria city, Virginia",2010,61206.3941619586,35296.8883163167,1329.26695886716,1054.43997832462,1.2606378610371,0.260613351346877,0.358481451013522
"3","Alexandria city, Virginia",2011,62991.9619419513,36722.8990802507,1394.83849776896,1106.94847574066,1.26007535882433,0.265717425798741,0.361719309792501
"4","Alexandria city, Virginia",2012,64021.5114653587,36603.3208836933,1439.43002384837,1142.78152951699,1.25958460709175,0.269802444378821,0.374648475141861
"5","Alexandria city, Virginia",2013,65561.447361713,36607.3637477036,1500.74958027746,1195.87769284225,1.25493567549589,0.274688794833509,0.392012175829166
"6","Alexandria city, Virginia",2014,66274.8052102618,37306.9984085377,1520.21089385475,1230.63671875,1.2353043515546,0.275255893523658,0.395841028626426
"7","Alexandria city, Virginia",2015,67923.2312621359,38686.6532451923,1555.09631812746,1260.40923285411,1.2338027027984,0.274738929093502,0.39095940138293
"8","Alexandria city, Virginia",2016,67540.457285455,37975.4853740264,1611.00811075902,1288.40153622455,1.25039288254794,0.28622988511023,0.407126289036694
"9","Alexandria city, Virginia",2017,70182.7590909091,38633.9468075028,1662.21968861945,1334.31629458209,1.24574637615444,0.284209918814907,0.414448868368672
"10","Alexandria city, Virginia",2018,72746.6550324675,39900.3730191397,1702.01989966555,1367.15345670391,1.24493698298432,0.280758459435298,0.41117012797292
"11","Alexandria city, Virginia",2019,76612.6490829284,42168.6397058823,1746.35321347109,1411.64693475816,1.23710339354101,0.273534968605109,0.401714718218308
